engine,workload,node_type,timing_source,timing_quality,records,jobs,prompt_tokens_mean,completion_tokens_mean,total_ms_mean,ttft_ms_mean,decode_ms_mean,real_trace_fraction,fallback_fraction
vllm,debate,aggregate,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,226.4364719390869,73.8677978515625,152.5686740875244,1.0,0.0
vllm,debate,llm_call,vllm_engine_metrics,engine_reported,40,5,2048.0,16.0,449.4511663913727,289.7047758102417,159.74639058113098,1.0,0.0
vllm,moa,llm_call,vllm_engine_metrics,engine_reported,40,5,2048.0,16.0,451.6634702682495,291.95172786712646,159.71174240112305,1.0,0.0
vllm,moa,summarize,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,226.43661499023438,73.51007461547852,152.92654037475586,1.0,0.0
vllm,planner_worker_tool,aggregate,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,227.22606658935547,74.13125038146973,153.09481620788574,1.0,0.0
vllm,planner_worker_tool,llm_call,vllm_engine_metrics,engine_reported,45,5,2048.0,16.0,427.47358745998804,269.196875890096,158.27671156989203,1.0,0.0
vllm,planner_worker_tool,summarize,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,227.34642028808594,74.64137077331543,152.7050495147705,1.0,0.0
vllm,planner_worker_tool,tool_call,synthetic_model,walltime_approx,20,5,32.0,16.0,1000.0,0.0,1000.0,0.0,0.0
vllm,rag_like,llm_call,vllm_engine_metrics,engine_reported,20,5,2048.0,16.0,452.42093801498413,293.2411193847656,159.1798186302185,1.0,0.0
vllm,rag_like,summarize,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,227.5902271270752,74.33309555053711,153.2571315765381,1.0,0.0
vllm,rag_like,tool_call,synthetic_model,walltime_approx,5,5,64.0,128.0,1000.0,0.0,1000.0,0.0,0.0
vllm,rag_like,verify,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,226.93777084350586,74.0628719329834,152.87489891052246,1.0,0.0
vllm,swe_like,llm_call,vllm_engine_metrics,engine_reported,30,5,2048.0,16.0,376.2704372406006,219.4000244140625,156.8704128265381,1.0,0.0
vllm,swe_like,summarize,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,227.15463638305664,74.15986061096191,152.99477577209473,1.0,0.0
vllm,swe_like,verify,vllm_engine_metrics,engine_reported,5,5,2048.0,16.0,226.52101516723633,73.55713844299316,152.96387672424316,1.0,0.0
