cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,waferagent_jct_p99_ms,apc_like_jct_p99_ms,regime_label
1,0.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
1,0.1,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
1,0.25,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
1,0.5,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
1,0.75,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
1,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
2,0.0,0.07307692307692308,0.1980735294155288,1.1290605261287119,71720.31690922382,33686.368249771396,low_reuse_apc_better
2,0.1,0.06692307692307692,0.1942352941212605,1.1287614625673181,71715.95689450382,33689.052604331395,low_reuse_apc_better
2,0.25,0.05653846153846154,0.18794117647395514,1.1092768660102283,71062.99237066375,33690.6896936114,low_reuse_apc_better
2,0.5,0.045,0.18021568627757545,1.0906377634418079,70435.0281498637,33690.6896936114,low_reuse_apc_better
2,0.75,0.03576923076923077,0.17518627451267088,1.0705992217538955,69759.91585994375,33690.6896936114,low_reuse_apc_better
2,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
5,0.0,0.09615384615384616,0.22818627451454043,1.0823836935719533,70147.94393898394,33686.368249771396,low_reuse_apc_better
5,0.1,0.08961538461538461,0.21924019608285972,1.0951087988211028,70576.60652042388,33686.368249771396,low_reuse_apc_better
5,0.25,0.07692307692307693,0.20290196078818057,1.1287417735056813,71709.57929098383,33686.368249771396,low_reuse_apc_better
5,0.5,0.05923076923076923,0.18500000000322991,1.0995215902272495,70734.3304013838,33690.6896936114,low_reuse_apc_better
5,0.75,0.04153846153846154,0.17738235294412563,1.069623124659443,69727.03047562372,33690.6896936114,low_reuse_apc_better
5,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
10,0.0,0.10384615384615385,0.23993627451489197,0.7381618449872931,58552.35998794402,33686.368249771396,low_reuse_apc_better
10,0.1,0.09692307692307692,0.22824509804393844,0.9222233859722588,64752.72483818397,33686.368249771396,low_reuse_apc_better
10,0.25,0.08423076923076923,0.2118137254943505,1.1149110341090966,71243.67191050386,33686.368249771396,low_reuse_apc_better
10,0.5,0.06653846153846153,0.19101960784655214,1.0674974444828604,69652.03016650381,33689.052604331395,low_reuse_apc_better
10,0.75,0.04423076923076923,0.17886764706182068,1.069857167991643,69734.91555690372,33690.6896936114,low_reuse_apc_better
10,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
20,0.0,0.1076923076923077,0.2452401960836883,0.2615954162073416,42498.56777258412,33686.368249771396,low_reuse_apc_better
20,0.1,0.10076923076923076,0.2347745098088475,0.7586663315498894,59243.08167306413,33686.368249771396,low_reuse_apc_better
20,0.25,0.08807692307692308,0.21799019608279124,0.8995476152600198,63988.860475624104,33686.368249771396,low_reuse_apc_better
20,0.5,0.07038461538461538,0.19799019608207225,1.0554252023797082,69239.81027722375,33686.368249771396,low_reuse_apc_better
20,0.75,0.04730769230769231,0.18016176470892054,1.0697724995866345,69732.06301994373,33690.6896936114,low_reuse_apc_better
20,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
50,0.0,0.11,0.2522303921623297,0.0252639476081035,34537.4188923409,33686.368249771396,low_reuse_apc_better
50,0.1,0.10307692307692308,0.2428382352992947,0.22965598940946155,41422.64447978412,33686.368249771396,low_reuse_apc_better
50,0.25,0.09038461538461538,0.22689215686740627,0.6594066101240657,55899.38214474411,33686.368249771396,low_reuse_apc_better
50,0.5,0.0726923076923077,0.20535784314114913,0.9481169750588749,65624.98581546398,33686.368249771396,low_reuse_apc_better
50,0.75,0.04923076923076923,0.1833186274541282,1.0052045875675317,67556.72553194374,33690.6896936114,low_reuse_apc_better
50,1.0,0.03461538461538462,0.17447058823813377,1.0835540848536522,70196.37413266087,33690.6896936114,low_reuse_apc_better
