state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason
S_task,replicate,42432.0,36.0,10.24,20.48,40.96,small hot state with broad fanout
S_document,replicate,30128.0,32.0,10.24,20.48,40.96,small hot state with broad fanout
S_rubric,replicate,42432.0,36.0,10.24,20.48,40.96,small hot state with broad fanout
S_tool_schema,inline,0.0,4.0,10.24,20.48,0.0,low fanout or low hotness
S_chain_0_context,inline,480.155,3.56,4.5568,9.1136,4.5568,low fanout or low hotness
S_chain_0_0_out,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness
S_chain_0_1_out,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness
S_chain_1_context,inline,427.284,3.168,4.05504,8.11008,4.05504,low fanout or low hotness
S_chain_1_0_out,inline,0.0,0.9520000000000001,2.43712,4.87424,1.21856,low fanout or low hotness
S_chain_1_1_out,inline,0.0,1.1280000000000001,2.88768,5.77536,1.44384,low fanout or low hotness
S_chain_2_context,inline,482.313,3.576,4.57728,9.15456,4.57728,low fanout or low hotness
S_chain_2_0_out,inline,0.0,0.92,2.3552000000000004,4.710400000000001,1.1776000000000002,low fanout or low hotness
S_chain_2_1_out,inline,0.0,0.932,2.38592,4.77184,1.19296,low fanout or low hotness
S_chain_3_context,inline,404.625,3.0,3.8400000000000003,7.680000000000001,3.8400000000000003,low fanout or low hotness
S_chain_3_0_out,inline,0.0,1.216,3.11296,6.22592,1.55648,low fanout or low hotness
S_chain_3_1_out,inline,0.0,0.976,2.4985600000000003,4.997120000000001,1.2492800000000002,low fanout or low hotness
S_parallel_report,inline,0.0,0.964,2.4678400000000003,4.9356800000000005,0.0,low fanout or low hotness
